transaction_id,card_number,transaction_date,transaction_amount,merchant_name,transaction_type,transaction_category,location,amount_before,amount_after,user,credit_risk
124,3565544221009101,10/30/2021,5504.97,Oyope,purchase,bills,18th Floor,1395.41,6900.38,Charlie,Low Risk
125,3540455770339106,2/15/2021,5281.37,Voonte,withdrawal,bills,Suite 37,6365.4,11646.77,David,High Risk
126,3534001694143469,9/22/2021,2584.32,Gabtype,withdrawal,bills,Suite 94,7720.17,10304.49,Eve,Medium Risk
127,3549514988610616,11/14/2021,9532.95,Skiptube,withdrawal,bills,PO Box 91186,4140.23,13673.18,Frank,Medium Risk
128,3578812914092105,3/7/2021,7778.08,Feedspan,purchase,entertainment,Apt 904,6133.26,13911.34,Grace,High Risk
129,5020762032876088,8/15/2021,6330.8,Zoombeat,withdrawal,entertainment,Apt 323,2473.25,8804.05,Hannah,Medium Risk
130,5108751080214149,6/22/2021,177.62,Edgetag,purchase,groceries,Suite 83,1421.82,1599.44,Ivy,Medium Risk
131,3529516557023497,5/11/2021,3745.14,LiveZ,refund,bills,PO Box 215,4559.7,8304.84,John,Low Risk
132,201915504077708,5/15/2021,4663.92,Lazzy,withdrawal,dining,10th Floor,8942.97,13606.89,Alice,Medium Risk
133,4175000915332127,2/6/2021,8161.76,Twinder,purchase,dining,Room 52,4618.12,12779.88,Bob,High Risk
134,6706075569937176584,1/5/2021,8938.41,Yata,purchase,dining,Suite 69,5238.33,14176.74,Charlie,Low Risk
135,5100142828431849,5/19/2021,721.32,Oyonder,purchase,bills,PO Box 61614,1907.79,2629.11,David,High Risk
136,3537514227067523,10/16/2021,4833.36,Roodel,refund,entertainment,Apt 46,1477.38,6310.74,Eve,Medium Risk
137,3540717460930563,6/20/2021,9910.84,Devshare,withdrawal,bills,Suite 79,8181.01,18091.85,Frank,Medium Risk
138,3569002818324744,12/18/2021,5137.2,Buzzbean,withdrawal,groceries,Suite 100,4428.13,9565.33,Grace,High Risk
139,3558634162959791,4/2/2021,4573.96,Twinder,purchase,groceries,1st Floor,6622.2,11196.16,Hannah,Medium Risk
140,5010127166950301,1/11/2021,5439.46,Centizu,purchase,groceries,Apt 374,7681.21,13120.67,Ivy,Medium Risk
141,30446108752345,2/12/2021,1194.27,Meetz,refund,bills,Room 1063,981.53,2175.8,John,Low Risk
142,3554688611590148,12/19/2021,7763.93,Skaboo,withdrawal,dining,Suite 30,8747.49,16511.42,Alice,Medium Risk
143,3570000578169728,5/5/2021,1011.76,Minyx,withdrawal,groceries,Suite 17,3479.63,4491.39,Bob,High Risk
144,3542899707148890,8/24/2021,3737.42,Aimbu,withdrawal,entertainment,Suite 20,2459.31,6196.73,Charlie,Low Risk
145,6761022241548035380,9/21/2021,522.38,Feedspan,purchase,groceries,Suite 55,7123.96,7646.34,David,High Risk
146,5602252994942462,6/29/2021,3137.86,Topicware,purchase,entertainment,PO Box 34262,9871.78,13009.64,Eve,Medium Risk
147,5602231830841070,11/19/2021,9954.0,Browsetype,refund,dining,Room 1790,8878.66,18832.66,Frank,Medium Risk
148,67718663337963836,2/23/2021,7704.85,Meetz,withdrawal,dining,Apt 15,2919.27,10624.12,Grace,High Risk
149,4405349000553481,5/15/2021,9575.23,Rhybox,purchase,entertainment,Room 554,9889.65,19464.88,Hannah,Medium Risk
150,6759526073394336314,12/22/2021,8396.34,Youtags,refund,groceries,Suite 10,854.88,9251.22,Ivy,Medium Risk
151,633110247632700425,2/1/2021,6691.44,Babbleopia,refund,bills,Room 1928,7396.49,14087.93,John,Low Risk
152,3584981149685215,11/15/2021,979.44,Flipstorm,purchase,dining,Room 576,9268.36,10247.8,Alice,Medium Risk
153,5007663845583472,5/22/2021,405.32,Tagcat,refund,dining,Apt 898,8091.7,8497.02,Bob,High Risk
154,4405524025298870,12/17/2021,2394.47,Thoughtbridge,refund,entertainment,PO Box 73978,2372.93,4767.4,Charlie,Low Risk
155,3554186010092873,6/27/2021,8118.38,Yadel,withdrawal,bills,19th Floor,614.82,8733.2,David,High Risk
156,56022285630269473,2/7/2021,2638.85,Oyoyo,purchase,dining,PO Box 28348,5294.01,7932.86,Eve,Medium Risk
157,201903520181001,3/5/2021,3732.86,Cogilith,withdrawal,groceries,PO Box 81819,241.19,3974.05,Frank,Medium Risk
158,4917118694429774,9/14/2021,7953.39,Buzzster,withdrawal,entertainment,Suite 74,6450.03,14403.42,Grace,High Risk
159,56022191369940724,5/15/2021,1886.28,Brainverse,withdrawal,dining,PO Box 27078,5636.07,7522.35,Hannah,Medium Risk
160,3562770918130727,9/14/2021,2044.99,Ainyx,refund,entertainment,PO Box 911,6198.23,8243.22,Ivy,Medium Risk
161,3578719339037153,4/2/2021,2463.39,Flipstorm,purchase,bills,Apt 1609,5689.77,8153.16,John,Low Risk
162,201910263914977,8/25/2021,6398.08,BlogXS,refund,entertainment,Apt 1876,4953.39,11351.47,Alice,Medium Risk
163,3577179478377319,1/3/2021,1193.87,Babbleset,refund,bills,Suite 49,4390.19,5584.06,Bob,High Risk
164,6709369722128573924,4/23/2021,1442.12,Quimm,refund,entertainment,Suite 65,7245.84,8687.96,Charlie,Low Risk
165,30586464589052,5/22/2021,9098.31,Nlounge,purchase,entertainment,Room 1403,806.93,9905.24,David,High Risk
166,3577922067639015,2/1/2021,5263.19,Pixoboo,refund,groceries,Apt 1313,9412.8,14675.99,Eve,Medium Risk
167,4844745020764967,3/21/2021,1009.5,Thoughtmix,purchase,dining,12th Floor,9759.99,10769.49,Frank,Medium Risk
168,4026040096940786,2/21/2021,3311.39,Photojam,withdrawal,dining,Apt 1705,8665.48,11976.87,Grace,High Risk
169,3564697931190487,3/17/2021,6027.29,Vinte,withdrawal,dining,Apt 1488,7291.29,13318.58,Hannah,Medium Risk
170,3570644532179552,11/17/2021,764.49,Muxo,purchase,dining,Apt 1110,1482.43,2246.92,Ivy,Medium Risk
171,3539400944622469,6/1/2021,7060.21,Rhyloo,purchase,entertainment,Apt 612,9539.07,16599.28,John,Low Risk
172,3561446774194096,8/6/2021,539.08,Twitterbridge,purchase,bills,5th Floor,1691.83,2230.91,Alice,Medium Risk
173,3569687483650124,2/8/2021,1102.81,Yozio,refund,bills,17th Floor,89.07,1191.88,Bob,High Risk
174,3533689562289884,1/25/2021,3611.04,Yodel,withdrawal,entertainment,12th Floor,7671.91,11282.95,Charlie,Low Risk
175,5020092083332348,10/1/2021,9531.63,Jamia,withdrawal,bills,PO Box 40782,7684.79,17216.42,David,High Risk
176,5336062981409141,1/27/2021,8400.39,Quire,refund,groceries,Room 883,1526.3,9926.69,Eve,Medium Risk
177,670613981432443786,9/8/2021,7919.75,Meevee,purchase,bills,Suite 19,1518.57,9438.32,Frank,Medium Risk
178,3575842060355710,8/28/2021,6319.29,Mynte,purchase,entertainment,Apt 1218,107.2,6426.49,Grace,High Risk
179,604199084679786,4/28/2021,7360.65,Yozio,refund,entertainment,Room 1417,3134.47,10495.12,Hannah,Medium Risk
180,6334388825165668,3/12/2021,4961.86,Plambee,purchase,bills,PO Box 27243,1394.42,6356.28,Ivy,Medium Risk
181,4866650015092,10/3/2021,2232.88,Mycat,refund,groceries,Room 291,2352.23,4585.11,John,Low Risk
182,490515398720591956,12/12/2021,801.28,Centimia,withdrawal,groceries,Suite 54,5808.0,6609.28,Alice,Medium Risk
183,30589169013196,1/25/2021,9297.86,Linktype,refund,entertainment,Apt 1373,7623.53,16921.39,Bob,High Risk
184,36617188965056,2/14/2021,4313.69,Yakidoo,purchase,bills,PO Box 51635,1871.53,6185.22,Charlie,Low Risk
185,377942579650845,9/23/2021,1874.86,Rhynyx,purchase,entertainment,Apt 992,277.06,2151.92,David,High Risk
186,675972791031002568,12/9/2021,2991.45,Fadeo,refund,groceries,PO Box 73644,4594.38,7585.83,Eve,Medium Risk
187,4041374572432252,5/5/2021,5193.91,Layo,withdrawal,bills,Room 21,5865.28,11059.19,Frank,Medium Risk
188,3542826169094684,4/18/2021,5963.39,Topicblab,purchase,groceries,Room 542,5268.75,11232.14,Grace,High Risk
189,337941353340622,1/29/2021,2850.92,Yoveo,purchase,dining,PO Box 41379,3701.56,6552.48,Hannah,Medium Risk
190,3576748393472610,4/5/2021,1080.29,Meevee,withdrawal,bills,10th Floor,5703.02,6783.31,Ivy,Medium Risk
191,3563647050224048,12/28/2021,6016.69,Gabvine,refund,entertainment,Room 1405,6445.81,12462.5,John,Low Risk
192,3569787260854004,11/29/2021,7663.52,Quinu,refund,groceries,PO Box 54315,5911.34,13574.86,Alice,Medium Risk
193,67069596423253859,4/20/2021,5855.37,Janyx,withdrawal,dining,Apt 917,5078.14,10933.51,Bob,High Risk
194,4041378342760,2/9/2021,3965.49,Eire,purchase,entertainment,Room 172,6683.11,10648.6,Charlie,Low Risk
195,3539120602272619,4/19/2021,8138.59,Blognation,purchase,groceries,Apt 811,2241.73,10380.32,David,High Risk
196,5020722530793562212,9/7/2021,428.46,Thoughtbridge,withdrawal,bills,Suite 11,1317.67,1746.13,Eve,Medium Risk
197,4844554788545869,10/30/2021,4504.12,Thoughtstorm,purchase,bills,PO Box 37380,3634.08,8138.2,Frank,Medium Risk
198,374622029057303,7/5/2021,2382.98,Meembee,refund,dining,Apt 1540,8837.26,11220.24,Grace,High Risk
199,3564332988010830,1/21/2021,7666.68,Agimba,purchase,bills,Apt 723,1370.87,9037.55,Hannah,Medium Risk
200,201640946912144,7/23/2021,1908.27,Edgetag,purchase,groceries,Suite 35,3365.41,5273.68,Ivy,Medium Risk
201,3579014568182154,12/9/2021,1495.83,Twiyo,withdrawal,entertainment,Room 248,5676.14,7171.97,John,Low Risk
202,67611150686345136,7/23/2021,2201.7,Shuffledrive,refund,dining,Apt 1265,7587.25,9788.95,Alice,Medium Risk
203,201646465471495,2/10/2021,9655.69,Flashspan,refund,dining,PO Box 33364,377.68,10033.37,Bob,High Risk
204,5100149729015696,2/1/2021,8386.65,JumpXS,refund,bills,Apt 1928,7622.69,16009.34,Charlie,Low Risk
205,5445529898190749,3/15/2021,7986.11,Brainsphere,withdrawal,bills,PO Box 22596,7169.58,15155.69,David,High Risk
206,3545208072056257,12/21/2021,2859.75,Skinte,refund,dining,Apt 1621,2761.21,5620.96,Eve,Medium Risk
207,4913761347160462,11/12/2021,8163.62,Kwilith,withdrawal,groceries,PO Box 89623,5276.18,13439.8,Frank,Medium Risk
208,5108755806893540,5/10/2021,1892.44,Quinu,refund,dining,PO Box 56607,8776.1,10668.54,Grace,High Risk
209,374283522609189,2/18/2021,9093.7,Jabbercube,purchase,groceries,PO Box 59224,1838.58,10932.28,Hannah,Medium Risk
210,3549188555928568,11/18/2021,2610.14,Edgeify,refund,dining,PO Box 90657,7329.95,9940.09,Ivy,Medium Risk
211,3563920746735572,4/30/2021,3729.82,Jabbersphere,withdrawal,groceries,Suite 97,9215.36,12945.18,John,Low Risk
212,4041379074917,7/1/2021,3075.94,Centizu,purchase,entertainment,PO Box 38388,1802.89,4878.83,Alice,Medium Risk
213,5610602439529292,4/4/2021,7597.98,Riffwire,purchase,groceries,12th Floor,8089.59,15687.57,Bob,High Risk
214,3545841663879602,9/3/2021,4965.79,Gigashots,withdrawal,dining,PO Box 76992,3609.55,8575.34,Charlie,Low Risk
215,3553040044063023,7/30/2021,4295.24,Geba,withdrawal,entertainment,Suite 89,4176.07,8471.31,David,High Risk
216,6334601011741690,9/24/2021,375.87,Flashspan,purchase,bills,Room 385,7973.65,8349.52,Eve,Medium Risk
217,3529455281035453,10/22/2021,1072.97,Jayo,refund,entertainment,Apt 1763,6001.1,7074.07,Frank,Medium Risk
218,3530185652339047,1/26/2021,330.6,Photobug,refund,entertainment,PO Box 74330,2362.76,2693.36,Grace,High Risk
219,3552170477007014,9/12/2021,8745.58,Devpulse,purchase,groceries,Apt 690,6745.23,15490.81,Hannah,Medium Risk
220,201672490538629,8/15/2021,4462.05,Rooxo,refund,groceries,18th Floor,9002.15,13464.2,Ivy,Medium Risk
221,5610604548472729,1/15/2021,4325.85,Yabox,refund,dining,Suite 97,8135.97,12461.82,John,Low Risk
222,3577245274104486,3/5/2021,6120.84,Mybuzz,purchase,dining,Room 605,3179.41,9300.25,Alice,Medium Risk
223,3582623816984438,3/28/2021,2804.02,Gabspot,withdrawal,bills,Room 942,3926.78,6730.8,Bob,High Risk
224,5602225643648821,9/18/2021,9293.04,Agimba,withdrawal,entertainment,PO Box 98785,6892.47,16185.51,Charlie,Low Risk
225,30336396236715,7/7/2021,2461.28,Livepath,withdrawal,bills,PO Box 48245,8064.89,10526.17,David,High Risk
226,3542114634137473,7/11/2021,5604.07,Kamba,withdrawal,entertainment,1st Floor,7957.74,13561.81,Eve,Medium Risk
